case_id,tag,nx,ny,Re,alpha_deg,dt,pressure_solver,steps_ran,stopped_early,Cl,Cd,Cl_brinkman,Cd_brinkman,Cl_cv,Cd_cv,div_rms_post,speed_mean,speed_max,ke_mean,w_rms,w_max,enstrophy,runtime_s,s_per_step,warm_state_loaded,warm_state_saved
sweep_Re2000_a-02_320x160_pcg,sweep_alpha_Re2000,320,160,2000.0,-2.0,0.002,pcg,2800,False,-0.1242448975378586,0.21744866507249047,-0.10570535787457024,0.32301131124216514,-0.1242448975378586,0.21744866507249047,0.002041036561081092,0.999613014263094,1.1942202026062327,0.5125842502878964,1.8710729035578464,30.60075417160988,1.7504569052141952,665.6420350999997,0.2377292982499999,False,True
sweep_Re2000_a+00_320x160_pcg,sweep_alpha_Re2000,320,160,2000.0,0.0,0.002,pcg,2800,False,-0.05763887259373843,0.18603203887804232,-0.01856962582678534,0.2597957686521113,-0.05763887259373843,0.18603203887804232,0.00156746579832023,0.9994150532912071,1.1806812117042327,0.5179740353440889,2.403737153103411,30.94086781144142,2.8889761506048455,626.2501848000011,0.22366078028571468,True,True
sweep_Re2000_a+02_320x160_pcg,sweep_alpha_Re2000,320,160,2000.0,2.0,0.002,pcg,2800,False,0.12374636105173309,0.15085103237718092,0.288271225249524,0.2446677840069912,0.12374636105173309,0.15085103237718092,0.0017047766472733268,0.9990716013476485,1.1920229833329645,0.510185030572452,1.9083873975842536,30.828361709912617,1.8209712296291998,668.7274612000001,0.23883123614285717,True,True
sweep_Re2000_a+04_320x160_pcg,sweep_alpha_Re2000,320,160,2000.0,4.0,0.002,pcg,2800,False,0.28329432049758957,0.14060994286157077,0.7224692113505509,0.27224175364691194,0.28329432049758957,0.14060994286157077,0.0015457400492038136,0.9989167895682265,1.221742875763567,0.5077764829448189,1.7521064406220006,31.750187476476036,1.5349384896345482,599.7313955999998,0.21418978414285708,True,True
sweep_Re2000_a+06_320x160_pcg,sweep_alpha_Re2000,320,160,2000.0,6.0,0.002,pcg,2800,False,0.46344090089374035,0.14471569568928117,1.1429777433655293,0.3218056653730764,0.46344090089374035,0.14471569568928117,0.0015142092540097476,0.9989940893090424,1.2530154672539906,0.5073641640106578,1.7031502051470815,33.8885760307312,1.4503603106462728,32479.096574000003,11.599677347857144,True,True
sweep_Re2000_a+08_320x160_pcg,sweep_alpha_Re2000,320,160,2000.0,8.0,0.002,pcg,2800,False,0.6228865962454014,0.15572776431242485,1.5240487189601326,0.38927399146330716,0.6228865962454014,0.15572776431242485,0.001559015109423483,0.9991347481202645,1.2874563073479242,0.5076394000665899,1.6826540810946307,35.816121896107994,1.415662378312208,596.7033016999994,0.2131083220357141,True,True
sweep_Re2000_a+10_320x160_pcg,sweep_alpha_Re2000,320,160,2000.0,10.0,0.002,pcg,2800,False,0.7447929567588811,0.1717007869586245,1.8495618879372204,0.46967306171086187,0.7447929567588811,0.1717007869586245,0.0016844545844949183,0.999171240502545,1.324911674631587,0.5081503061920275,1.6717068072778496,37.63460089763006,1.3973018247495506,562.4414054000008,0.2008719305000003,True,True
sweep_Re2000_a+12_320x160_pcg,sweep_alpha_Re2000,320,160,2000.0,12.0,0.002,pcg,2800,False,0.8748827331539446,0.19583900613819027,2.154995994089336,0.5666879148529702,0.8748827331539446,0.19583900613819027,0.00189229279858469,0.9991743369192184,1.3643259236071266,0.5088293605766956,1.6621751915209515,39.5611206193765,1.381413183653856,592.0736552999952,0.21145487689285541,True,True
dt_sens_Re2000_a+04_f0.80_320x160_pcg,dt_sensitivity,320,160,2000.0,4.0,0.0016,pcg,2800,False,0.2877935133172878,0.13671692680791606,0.6735067018973556,0.2573948961719616,0.2877935133172878,0.13671692680791606,0.0012927436573522387,0.9992856464493779,1.2252716343979755,0.5076114276478197,1.7326758196677174,31.908031503359478,1.5010827480305984,550.9852797999993,0.1967804570714283,False,True
dt_sens_Re2000_a+04_f1.00_320x160_pcg,dt_sensitivity,320,160,2000.0,4.0,0.002,pcg,2800,False,0.2941174578047309,0.1398733625517246,0.7371175643177879,0.27396730714159145,0.2941174578047309,0.1398733625517246,0.0015851203250653804,0.9988868385102989,1.2230022983886444,0.5074394618533923,1.7421994807650383,31.79667542378108,1.5176295153889845,538.3948394000035,0.19228387121428697,False,True
dt_sens_Re2000_a+04_f1.20_320x160_pcg,dt_sensitivity,320,160,2000.0,4.0,0.0024,pcg,2800,False,0.28736860156208327,0.14116279491702405,0.7993546887376026,0.29096737677213597,0.28736860156208327,0.14116279491702405,0.0018133942859855504,0.9985575039797387,1.2212073427336212,0.5072054288006567,1.7465065509230724,31.705093383789062,1.5251425662086031,518.6493386000002,0.1852319066428572,False,True
grid_sens_Re2000_a+04_256x128_pcg,grid_sensitivity,256,128,2000.0,4.0,0.002,pcg,2800,False,0.2958904605397556,0.14852154807263887,0.7167286918509242,0.2890443514017135,0.2958904605397556,0.14852154807263887,0.0010599013238994062,0.9994247826432512,1.2227805389705668,0.5081542171101497,1.637622256416226,25.984158198038738,1.3409033273548856,261.9242674000052,0.09354438121428757,False,True
grid_sens_Re2000_a+04_320x160_pcg,grid_sensitivity,320,160,2000.0,4.0,0.002,pcg,2800,False,0.2941174578047309,0.1398733625517246,0.7371175643177879,0.27396730714159145,0.2941174578047309,0.1398733625517246,0.0015851203250653804,0.9988868385102989,1.2230022983886444,0.5074394618533923,1.7421994807650383,31.79667542378108,1.5176295153889845,535.0163948000045,0.19107728385714445,False,True
grid_sens_Re2000_a+04_384x192_pcg,grid_sensitivity,384,192,2000.0,4.0,0.002,pcg,2800,False,0.2916884540787167,0.13538091362502047,0.7453718112459458,0.264481976105182,0.2916884540787167,0.13538091362502047,0.0021726214060403,0.9983060124916255,1.2243311644201686,0.5069223098943788,1.8473988718603427,37.222710609436035,1.7064412958754334,961.5398188000036,0.3434070781428584,False,True
Re5000_a+00_320x160_pcg,Re_checks,320,160,5000.0,0.0,0.0018000000000000002,pcg,2400,True,-0.1600549639304293,0.1508836741347439,-0.2932009845972061,0.2287630084902048,-0.1600549639304293,0.1508836741347439,0.0006783135425580643,0.9998058250764187,1.2006328111097855,0.5105173967418509,2.295532307158972,31.700873921314876,2.6347342866052967,501.4836892000021,0.20895153716666756,False,True
Re5000_a+04_320x160_pcg,Re_checks,320,160,5000.0,4.0,0.0018000000000000002,pcg,2800,False,0.30572827862306484,0.11710725209519654,0.6192672674105306,0.23122037390942438,0.30572827862306484,0.11710725209519654,0.0011546469305963713,0.9997184709461903,1.217435305829861,0.5072853125586912,1.7599231773058406,32.19177027543386,1.5486647950091428,628.9030535999991,0.2246082334285711,True,True
Re5000_a+10_320x160_pcg,Re_checks,320,160,5000.0,10.0,0.0018000000000000002,pcg,2800,False,0.7389832364635311,0.1494638318482639,1.739705940720846,0.42554370002672703,0.7389832364635311,0.1494638318482639,0.0009955712219183587,0.999947334440322,1.328900053331029,0.5078620405830953,1.7102216796235794,38.47090045611064,1.4624290967272484,659.6487348999945,0.23558883389285515,True,True
